Tanggal,Kurs_IDR
2018-03-16,3513.89990234375
2018-03-17,3513.89990234375
2018-03-18,3513.89990234375
2018-03-19,3509.800048828125
2018-03-20,3508.60009765625
2018-03-21,3504.39990234375
2018-03-22,3517.5
2018-03-23,3471.0
2018-03-24,3471.0
2018-03-25,3471.0
2018-03-26,3470.60009765625
2018-03-27,3520.800048828125
2018-03-28,3541.699951171875
2018-03-29,3569.300048828125
2018-03-30,3559.199951171875
2018-03-31,3559.199951171875
2018-04-01,3559.199951171875
2018-04-02,3510.5
2018-04-03,3561.89990234375
2018-04-04,3550.39990234375
2018-04-05,3545.800048828125
2018-04-06,3560.199951171875
2018-04-07,3560.199951171875
2018-04-08,3560.199951171875
2018-04-09,3499.39990234375
2018-04-10,3507.39990234375
2018-04-11,3551.60009765625
2018-04-12,3539.199951171875
2018-04-13,3554.89990234375
2018-04-14,3554.89990234375
2018-04-15,3554.89990234375
2018-04-16,3543.60009765625
2018-04-17,3542.5
2018-04-18,3533.10009765625
2018-04-19,3543.699951171875
2018-04-20,3543.300048828125
2018-04-21,3543.300048828125
2018-04-22,3543.300048828125
2018-04-23,3512.699951171875
2018-04-24,3549.10009765625
2018-04-25,3549.39990234375
2018-04-26,3551.300048828125
2018-04-27,3537.89990234375
2018-04-28,3537.89990234375
2018-04-29,3537.89990234375
2018-04-30,3540.300048828125
2018-05-01,3540.699951171875
2018-05-02,3509.199951171875
2018-05-03,3556.0
2018-05-04,3527.199951171875
2018-05-05,3527.199951171875
2018-05-06,3527.199951171875
2018-05-07,3488.89990234375
2018-05-08,3543.699951171875
2018-05-09,3513.699951171875
2018-05-10,3477.39990234375
2018-05-11,3562.699951171875
2018-05-12,3562.699951171875
2018-05-13,3562.699951171875
2018-05-14,3482.5
2018-05-15,3523.89990234375
2018-05-16,3542.800048828125
2018-05-17,3497.199951171875
2018-05-18,3487.300048828125
2018-05-19,3487.300048828125
2018-05-20,3487.300048828125
2018-05-21,3513.89990234375
2018-05-22,3549.60009765625
2018-05-23,3522.699951171875
2018-05-24,3564.10009765625
2018-05-25,3546.199951171875
2018-05-26,3546.199951171875
2018-05-27,3546.199951171875
2018-05-28,3548.89990234375
2018-05-29,3472.5
2018-05-30,3503.5
2018-05-31,3503.699951171875
2018-06-01,3494.5
2018-06-02,3494.5
2018-06-03,3494.5
2018-06-04,3443.10009765625
2018-06-05,3443.0
2018-06-06,3480.5
2018-06-07,3478.800048828125
2018-06-08,3477.800048828125
2018-06-09,3477.800048828125
2018-06-10,3477.800048828125
2018-06-11,3443.39990234375
2018-06-12,3445.800048828125
2018-06-13,3483.699951171875
2018-06-14,3491.300048828125
2018-06-15,3491.0
2018-06-16,3491.0
2018-06-17,3491.0
2018-06-18,3484.39990234375
2018-06-19,3481.89990234375
2018-06-20,3480.89990234375
2018-06-21,3476.39990234375
2018-06-22,3522.0
2018-06-23,3522.0
2018-06-24,3522.0
2018-06-25,3510.89990234375
2018-06-26,3527.10009765625
2018-06-27,3517.699951171875
2018-06-28,3516.0
2018-06-29,3544.800048828125
2018-06-30,3544.800048828125
2018-07-01,3544.800048828125
2018-07-02,3551.60009765625
2018-07-03,3558.300048828125
2018-07-04,3553.199951171875
2018-07-05,3480.300048828125
2018-07-06,3546.39990234375
2018-07-07,3546.39990234375
2018-07-08,3546.39990234375
2018-07-09,3508.300048828125
2018-07-10,3553.800048828125
2018-07-11,3567.199951171875
2018-07-12,3560.699951171875
2018-07-13,3562.39990234375
2018-07-14,3562.39990234375
2018-07-15,3562.39990234375
2018-07-16,3553.60009765625
2018-07-17,3564.5
2018-07-18,3559.10009765625
2018-07-19,3552.699951171875
2018-07-20,3550.89990234375
2018-07-21,3550.89990234375
2018-07-22,3550.89990234375
2018-07-23,3516.60009765625
2018-07-24,3519.5
2018-07-25,3539.89990234375
2018-07-26,3530.60009765625
2018-07-27,3522.60009765625
2018-07-28,3522.60009765625
2018-07-29,3522.60009765625
2018-07-30,3491.60009765625
2018-07-31,3548.199951171875
2018-08-01,3561.5
2018-08-02,3548.60009765625
2018-08-03,3554.800048828125
2018-08-04,3554.800048828125
2018-08-05,3554.800048828125
2018-08-06,3547.60009765625
2018-08-07,3544.199951171875
2018-08-08,3539.39990234375
2018-08-09,3547.5
2018-08-10,3529.39990234375
2018-08-11,3529.39990234375
2018-08-12,3529.39990234375
2018-08-13,3540.199951171875
2018-08-14,3558.39990234375
2018-08-15,3576.39990234375
2018-08-16,3558.39990234375
2018-08-17,3579.199951171875
2018-08-18,3579.199951171875
2018-08-19,3579.199951171875
2018-08-20,3561.39990234375
2018-08-21,3553.199951171875
2018-08-22,3558.89990234375
2018-08-23,3552.800048828125
2018-08-24,3522.39990234375
2018-08-25,3522.39990234375
2018-08-26,3522.39990234375
2018-08-27,3515.5
2018-08-28,3498.699951171875
2018-08-29,3507.89990234375
2018-08-30,3490.800048828125
2018-08-31,3533.10009765625
2018-09-01,3533.10009765625
2018-09-02,3533.10009765625
2018-09-03,3552.199951171875
2018-09-04,3541.89990234375
2018-09-05,3552.5
2018-09-06,3540.10009765625
2018-09-07,3549.5
2018-09-08,3549.5
2018-09-09,3549.5
2018-09-10,3542.10009765625
2018-09-11,3534.300048828125
2018-09-12,3530.300048828125
2018-09-13,3580.10009765625
2018-09-14,3556.699951171875
2018-09-15,3556.699951171875
2018-09-16,3556.699951171875
2018-09-17,3576.199951171875
2018-09-18,3589.89990234375
2018-09-19,3598.199951171875
2018-09-20,3592.0
2018-09-21,3586.800048828125
2018-09-22,3586.800048828125
2018-09-23,3586.800048828125
2018-09-24,3540.800048828125
2018-09-25,3553.39990234375
2018-09-26,3604.60009765625
2018-09-27,3606.300048828125
2018-09-28,3605.39990234375
2018-09-29,3605.39990234375
2018-09-30,3605.39990234375
2018-10-01,3599.199951171875
2018-10-02,3601.60009765625
2018-10-03,3628.89990234375
2018-10-04,3634.39990234375
2018-10-05,3661.800048828125
2018-10-06,3661.800048828125
2018-10-07,3661.800048828125
2018-10-08,3612.699951171875
2018-10-09,3606.39990234375
2018-10-10,3670.10009765625
2018-10-11,3657.60009765625
2018-10-12,3666.60009765625
2018-10-13,3666.60009765625
2018-10-14,3666.60009765625
2018-10-15,3651.800048828125
2018-10-16,3655.5
2018-10-17,3663.10009765625
2018-10-18,3635.800048828125
2018-10-19,3641.199951171875
2018-10-20,3641.199951171875
2018-10-21,3641.199951171875
2018-10-22,3646.89990234375
